source,hour_index,time,k,requested_fraction,recent_resources,min_recent_resources_selected,max_recent_resources_selected
hourly,52,2026-06-18 04:00:00+00:00,3,0.5,6,0,0
hourly,52,2026-06-18 04:00:00+00:00,6,1.0,6,2,2
hourly,53,2026-06-18 05:00:00+00:00,1,0.1,5,0,0
hourly,53,2026-06-18 05:00:00+00:00,2,0.25,5,0,0
hourly,53,2026-06-18 05:00:00+00:00,3,0.5,5,0,0
hourly,53,2026-06-18 05:00:00+00:00,5,1.0,5,2,2
hourly,54,2026-06-18 06:00:00+00:00,1,0.1,5,0,0
hourly,54,2026-06-18 06:00:00+00:00,2,0.25,5,0,0
hourly,54,2026-06-18 06:00:00+00:00,3,0.5,5,0,0
hourly,54,2026-06-18 06:00:00+00:00,5,1.0,5,2,2
hourly,55,2026-06-18 07:00:00+00:00,1,0.1,6,0,0
hourly,55,2026-06-18 07:00:00+00:00,2,0.25,6,0,0
hourly,55,2026-06-18 07:00:00+00:00,3,0.5,6,0,1
hourly,55,2026-06-18 07:00:00+00:00,6,1.0,6,2,3
hourly,56,2026-06-18 08:00:00+00:00,1,0.1,5,0,0
hourly,56,2026-06-18 08:00:00+00:00,2,0.25,5,0,0
hourly,56,2026-06-18 08:00:00+00:00,3,0.5,5,1,1
hourly,56,2026-06-18 08:00:00+00:00,5,1.0,5,2,2
hourly,57,2026-06-18 09:00:00+00:00,1,0.1,5,0,0
hourly,57,2026-06-18 09:00:00+00:00,2,0.25,5,1,1
hourly,57,2026-06-18 09:00:00+00:00,3,0.5,5,1,1
hourly,57,2026-06-18 09:00:00+00:00,5,1.0,5,1,2
hourly,58,2026-06-18 10:00:00+00:00,1,0.1,6,0,0
hourly,58,2026-06-18 10:00:00+00:00,2,0.25,6,1,1
hourly,58,2026-06-18 10:00:00+00:00,3,0.5,6,1,1
hourly,58,2026-06-18 10:00:00+00:00,6,1.0,6,2,2
hourly,59,2026-06-18 11:00:00+00:00,1,0.1,4,0,0
hourly,59,2026-06-18 11:00:00+00:00,1,0.25,4,0,0
hourly,59,2026-06-18 11:00:00+00:00,2,0.5,4,1,1
hourly,59,2026-06-18 11:00:00+00:00,4,1.0,4,1,1
hourly,60,2026-06-18 12:00:00+00:00,1,0.1,4,0,0
hourly,60,2026-06-18 12:00:00+00:00,1,0.25,4,0,0
hourly,60,2026-06-18 12:00:00+00:00,2,0.5,4,1,1
hourly,60,2026-06-18 12:00:00+00:00,4,1.0,4,1,1
hourly,61,2026-06-18 13:00:00+00:00,1,0.1,3,0,0
hourly,61,2026-06-18 13:00:00+00:00,1,0.25,3,0,0
hourly,61,2026-06-18 13:00:00+00:00,2,0.5,3,1,1
hourly,61,2026-06-18 13:00:00+00:00,3,1.0,3,1,1
hourly,62,2026-06-18 14:00:00+00:00,1,0.1,1,0,0
hourly,62,2026-06-18 14:00:00+00:00,1,0.25,1,0,0
hourly,62,2026-06-18 14:00:00+00:00,1,0.5,1,0,0
hourly,62,2026-06-18 14:00:00+00:00,1,1.0,1,0,0
hourly,63,2026-06-18 15:00:00+00:00,1,0.1,2,0,0
hourly,63,2026-06-18 15:00:00+00:00,1,0.25,2,0,0
hourly,63,2026-06-18 15:00:00+00:00,1,0.5,2,0,0
hourly,63,2026-06-18 15:00:00+00:00,2,1.0,2,0,0
hourly,64,2026-06-18 16:00:00+00:00,2,0.1,14,0,0
hourly,64,2026-06-18 16:00:00+00:00,4,0.25,14,0,1
hourly,64,2026-06-18 16:00:00+00:00,7,0.5,14,2,3
hourly,64,2026-06-18 16:00:00+00:00,14,1.0,14,3,3
hourly,65,2026-06-18 17:00:00+00:00,4,0.1,37,2,2
hourly,65,2026-06-18 17:00:00+00:00,10,0.25,37,6,6
hourly,65,2026-06-18 17:00:00+00:00,19,0.5,37,12,12
hourly,65,2026-06-18 17:00:00+00:00,37,1.0,37,23,25
hourly,66,2026-06-18 18:00:00+00:00,8,0.1,76,7,7
hourly,66,2026-06-18 18:00:00+00:00,19,0.25,76,15,15
hourly,66,2026-06-18 18:00:00+00:00,38,0.5,76,30,30
hourly,66,2026-06-18 18:00:00+00:00,76,1.0,76,55,65
hourly,67,2026-06-18 19:00:00+00:00,13,0.1,129,12,12
hourly,67,2026-06-18 19:00:00+00:00,33,0.25,129,30,30
hourly,67,2026-06-18 19:00:00+00:00,65,0.5,129,57,59
hourly,67,2026-06-18 19:00:00+00:00,129,1.0,129,111,119
hourly,68,2026-06-18 20:00:00+00:00,21,0.1,210,20,20
hourly,68,2026-06-18 20:00:00+00:00,53,0.25,210,51,51
hourly,68,2026-06-18 20:00:00+00:00,105,0.5,210,97,99
hourly,68,2026-06-18 20:00:00+00:00,210,1.0,210,195,202
hourly,69,2026-06-18 21:00:00+00:00,31,0.1,305,30,30
hourly,69,2026-06-18 21:00:00+00:00,77,0.25,305,75,76
hourly,69,2026-06-18 21:00:00+00:00,153,0.5,305,146,148
hourly,69,2026-06-18 21:00:00+00:00,305,1.0,305,285,298
hourly,70,2026-06-18 22:00:00+00:00,34,0.1,331,34,34
hourly,70,2026-06-18 22:00:00+00:00,83,0.25,331,82,82
hourly,70,2026-06-18 22:00:00+00:00,166,0.5,331,156,160
hourly,70,2026-06-18 22:00:00+00:00,331,1.0,331,311,321
hourly,71,2026-06-18 23:00:00+00:00,33,0.1,323,33,33
hourly,71,2026-06-18 23:00:00+00:00,81,0.25,323,79,79
hourly,71,2026-06-18 23:00:00+00:00,162,0.5,323,147,153
hourly,71,2026-06-18 23:00:00+00:00,323,1.0,323,295,308
hourly,72,2026-06-19 00:00:00+00:00,31,0.1,302,31,31
