hour_index,time,requested_fraction_of_recent_resources,k,older_candidates,recent_resources,recent_labels,R6_0,Q6_recent_degree,Q6_older_degree,Q6_uniform_median,Q6_uniform_p05,Q6_uniform_p95,Q6_older_ties_p05,Q6_older_ties_median,Q6_older_ties_p95,Q6_recent_ties_p05,Q6_recent_ties_p95,recent_resources_selected_by_older_degree,recent_resource_coverage_older_degree,recent_resource_coverage_recent_degree,recent_resource_coverage_uniform_median,recent_resource_coverage_older_ties_p05,recent_resource_coverage_older_ties_p95,fraction_older_degree_actions_outside_recent
24,2026-06-17 00:00:00+00:00,0.1,22,248,216,548,0.9726277372262774,0.6848030018761726,0.6697936210131332,0.9530956848030019,0.9193245778611632,0.9774859287054409,0.649155722326454,0.6679174484052532,0.6697936210131332,0.6829268292682927,0.6848030018761726,22,0.10185185185185185,0.10185185185185185,0.08796296296296297,0.10185185185185185,0.10185185185185185,0.0
24,2026-06-17 00:00:00+00:00,0.25,54,248,216,548,0.9726277372262774,0.38649155722326456,0.41838649155722324,0.874296435272045,0.8160412757973733,0.9230769230769231,0.3977485928705441,0.41275797373358347,0.425891181988743,0.3433395872420263,0.39587242026266417,53,0.24537037037037038,0.25,0.2175925925925926,0.24537037037037038,0.25,0.01851851851851849
24,2026-06-17 00:00:00+00:00,0.5,108,248,216,548,0.9726277372262774,0.06378986866791744,0.0450281425891182,0.7166979362101313,0.6378048780487805,0.7936210131332082,0.0450281425891182,0.0450281425891182,0.0450281425891182,0.04690431519699812,0.08630393996247655,101,0.4675925925925926,0.5,0.4351851851851852,0.4675925925925926,0.4675925925925926,0.06481481481481477
24,2026-06-17 00:00:00+00:00,1.0,216,248,216,548,0.9726277372262774,0.001876172607879925,0.0075046904315197,0.1894934333958724,0.06181988742964353,0.32467166979362094,0.005628517823639775,0.005628517823639775,0.009380863039399626,0.001876172607879925,0.001876172607879925,190,0.8796296296296297,1.0,0.8703703703703703,0.8703703703703703,0.8981481481481481,0.12037037037037035
25,2026-06-17 01:00:00+00:00,0.1,22,266,214,516,0.9651162790697675,0.7228915662650602,0.6947791164658634,0.9618473895582329,0.9257028112449799,0.9819277108433735,0.6827309236947792,0.6927710843373494,0.6947791164658634,0.7128514056224899,0.7309236947791165,22,0.102803738317757,0.102803738317757,0.08411214953271028,0.102803738317757,0.102803738317757,0.0
25,2026-06-17 01:00:00+00:00,0.25,54,266,214,516,0.9651162790697675,0.4357429718875502,0.463855421686747,0.891566265060241,0.8372489959839358,0.9337349397590361,0.4497991967871486,0.46184738955823296,0.4718875502008032,0.42971887550200805,0.43775100401606426,54,0.2523364485981308,0.2523364485981308,0.20093457943925233,0.24766355140186916,0.2523364485981308,0.0
25,2026-06-17 01:00:00+00:00,0.5,107,266,214,516,0.9651162790697675,0.04618473895582329,0.11244979919678715,0.7550200803212851,0.6746987951807228,0.8232931726907631,0.04417670682730924,0.0853413654618474,0.13463855421686738,0.02610441767068273,0.0642570281124498,96,0.4485981308411215,0.5,0.40186915887850466,0.4485981308411215,0.46261682242990654,0.10280373831775702
25,2026-06-17 01:00:00+00:00,1.0,214,266,214,516,0.9651162790697675,0.002008032128514056,0.012048192771084338,0.3152610441767068,0.1686746987951807,0.4279116465863452,0.006024096385542169,0.008032128514056224,0.012048192771084338,0.002008032128514056,0.002008032128514056,173,0.8084112149532711,1.0,0.8037383177570093,0.8130841121495327,0.8504672897196262,0.19158878504672894
26,2026-06-17 02:00:00+00:00,0.1,18,285,180,383,0.97911227154047,0.7093333333333334,0.8,0.968,0.92,0.9866666666666667,0.7946666666666666,0.7973333333333333,0.8,0.7093333333333334,0.72,11,0.06111111111111111,0.1,0.06666666666666667,0.06111111111111111,0.06666666666666667,0.38888888888888884
26,2026-06-17 02:00:00+00:00,0.25,45,285,180,383,0.97911227154047,0.45866666666666667,0.5706666666666667,0.904,0.84,0.9493333333333334,0.5706666666666667,0.5866666666666667,0.5946666666666667,0.38666666666666666,0.4693333333333333,36,0.2,0.25,0.16111111111111112,0.2,0.2,0.19999999999999996
